locationid,Applicant,FacilityType,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,Location,Zip Codes
1181510,John's Catering #5,Truck,TURK ST: GOUGH ST to LAGUNA ST (900 - 1099),1003 TURK ST,759001,759,1,18MFF-0045,EXPIRED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),"(37.780868436568085, -122.42546772661841)",28852
1336677,Mike's Catering,Truck,CHINA BASIN ST: TERRY A FRANCOIS BLVD to 03RD ST (300 - 499),435 CHINA BASIN ST,8720001,8720,1,19MFF-00054,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,"(0.0, 0.0)",
1336025,Paradise Catering,Truck,DORE ST: HOWARD ST to FOLSOM ST (1 - 99),45 DORE ST,3518033,3518,33,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(37.77407092896163, -122.41290398690825)",28853
963991,Singh Brothers Ice Cream,Truck,HARBOR RD: NORTHRIDGE RD to INGALLS ST (1 - 299),297 HARBOR RD,4712008,4712,8,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,"(37.73343881164075, -122.38046754951797)",58
1334502,Natan's Catering,Truck,,Assessors Block 4103/Lot023A,4103023A,4103,023A,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.758303395642486, -122.39351405481675)",28856
1337438,Liang Bai Ping,Truck,VAN DYKE AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1337 VAN DYKE AVE,4828029,4828,29,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.7262494817986, -122.38781536801433)",58
1089697,El Tonayense #60,Truck,HARRISON ST: 17TH ST to MARIPOSA ST (2050 - 2149),401 TREAT AVE,3573023,3573,23,18MFF-0004,REQUESTED,Tacos: Burritos: Tortas: Quesadillas: Drinks,"(37.763108325376656, -122.41345489002224)",28859
1181511,John's Catering #5,Truck,MASONIC AVE: EWING TER to TURK BLVD (200 - 298) -- EAST --,270 MASONIC AVE,1111002,1111,2,18MFF-0045,EXPIRED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),"(37.778918589893365, -122.44674879681519)",54
1174517,CC Acquisition LLC,Push Cart,MARKET ST: MAIN ST to BEALE ST \ DAVIS ST \ PINE ST (214 - 298) -- NORTH --,298 MARKET ST,264004,264,4,18MFF-0033,REQUESTED,Indian Chai (Tea),"(37.793213731663414, -122.39704303671823)",28860
1336018,Paradise Catering,Truck,BRANNAN ST: HARRIET ST to LUCERNE ST (715 - 743),732 BRANNAN ST,3779018,3779,18,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(37.77423022913094, -122.402102214519)",28853
1163799,"SOHOMEI, LLC",Truck,MASONIC AVE: MCALLISTER ST to FULTON ST (500 - 599),599 MASONIC AVE,1108 012,1108,12,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,"(37.780723147544364, -122.44778964047842)",54
1337053,Roadside Rotisserie Corporation / Country Grill,Truck,BATTERY ST: CALIFORNIA ST to HALLECK ST (200 - 230),225 BATTERY ST,238002,238,2,19MFF-00066,EXPIRED,Rotisserie Chicken; Ribs; Pork Loin; Roasted Potatoes; Chicken Wrap; Kale Salad; Drinks,"(37.79344652781607, -122.40034367559197)",28854
1334519,Natan's Catering,Truck,HARRISON ST: MERLIN ST to OAK GROVE ST (924 - 950),950 HARRISON ST,3753241,3753,241,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.778388615786554, -122.40319178322909)",28856
1336033,Paradise Catering,Truck,HARRIET ST: HOWARD ST to FOLSOM ST (1 - 99),15 HARRIET ST,3731116,3731,116,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(37.77917621076684, -122.40722175847242)",28853
1301557,San Francisco's Hometown Creamery,Truck,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),425 CALIFORNIA ST,260001,260,1,19MFF-00008,EXPIRED,Ice Cream: Waffle Cones,"(37.79279574157871, -122.40135328093122)",28854
1090081,El Tonayanse #4 / #36,Truck,HARRISON ST: 13TH ST to 14TH ST (1700 - 1799),1717 HARRISON ST,3901001,3901,1,18MFF-0005,REQUESTED,Tacos: Burritos: Tortas: Quesadillas,"(0.0, 0.0)",
1336764,Park's Catering,Truck,NAPOLEON ST: EVANS AVE \ TOLAND ST to JERROLD AVE (25 - 299),190 NAPOLEON ST,4343004,4343,4,19MFF-00056,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,"(37.74758627625646, -122.39886570079622)",58
1337444,Liang Bai Ping,Truck,BANCROFT AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1440 BANCROFT AVE,4850019,4850,19,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.72417289276133, -122.38973542901097)",58
1334521,Natan's Catering,Truck,16TH ST: 04TH ST to OWENS ST (600 - 699),600 16TH ST,8718001,8718,1,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.76746628714475, -122.39086028943053)",310
1332938,Mini Mobile Food Catering,Truck,BERRY ST: 06TH ST to KING ST (400 - 431),420 BERRY ST,8703006,8703,6,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,"(37.77200865646878, -122.3990838454733)",310
1332946,Mini Mobile Food Catering,Truck,16TH ST: OWENS ST to 07TH ST \ MISSISSIPPI ST (700 - 899),701 16TH ST,8723001,8723,1,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,"(0.0, 0.0)",
1334952,DO UC US Mobile Catering,Truck,04TH ST: MISSION BAY BLVD to NELSON RISING LN (1400 - 1499),1420 04TH ST,8716001,8716,1,19MFF-00050,EXPIRED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks,"(37.76989774889607, -122.3910982796345)",310
1377259,Cochinita,Truck,02ND ST: BRYANT ST to TABER PL (500 - 518),501 02ND ST,3774067,3774,67,19MFF-00130,EXPIRED,Mexican Food: Yucatan Food: Street Food,"(37.783171104343396, -122.39290104947858)",28856
1336675,Mike's Catering,Truck,23RD ST: END to ILLINOIS ST (100 - 699),435 23RD ST,4232010,4232,10,19MFF-00054,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,"(37.755030726766726, -122.38453073422282)",28856
1336016,Paradise Catering,Truck,RUSS ST: TULIP ALY to NATOMA ST (20 - 39),25 RUSS ST,3726067,3726,67,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(37.779463731622464, -122.40886795102314)",28853
1336019,Paradise Catering,Truck,07TH ST: CLEVELAND ST to HARRISON ST (314 - 399),370 07TH ST,3755207,3755,207,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(37.77571285897462, -122.40695037968601)",28853
1332941,Mini Mobile Food Catering,Truck,FOLSOM ST: 12TH ST to 13TH ST (1600 - 1699),1690 FOLSOM ST,3515040,3515,40,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,"(37.77013758050153, -122.41598340280362)",28853
1337055,San Francisco's Hometown Creamery,Truck,GEARY ST: STOCKTON ST to POWELL ST (200 - 299),281 GEARY ST,314013,314,13,19MFF-00067,EXPIRED,Ice cream,"(37.787136491086116, -122.4077185090006)",28852
1334511,Natan's Catering,Truck,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3201 03RD ST,4377001,4377,1,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.748445338837655, -122.38687903197963)",58
1336744,Quan Catering,Truck,LANE ST: VAN DYKE AVE to 03RD ST (2100 - 2199),2111 LANE ST,5387022,5387,22,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,"(37.72878795772644, -122.39229482070176)",58
1163800,"SOHOMEI, LLC",Truck,22ND ST: SAN BRUNO AVE to UTAH ST (2400 - 2449),2401 22ND ST,4154001,4154,1,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,"(37.75563700983233, -122.40510193037899)",28859
1047771,The Chef Station,,DIVISADERO ST: OAK ST to FELL ST (401 - 499) -- WEST --,425 DIVISADERO ST,1215016,1215,16,17MFF-0202,REQUESTED,South American Peruvian Food - Ceiches: hot wok dishes: hot pastas: rice dishes: and Tapas.,"(37.77336405319086, -122.43787522530337)",29492
1265597,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,POST ST: STOCKTON ST to POWELL ST (300 - 399),Assessors Block /Lot,,,,19MFF-00001,REQUESTED,American Food: Hot dogs: pretzels: ice cream: salads: beverages: sandwiches: soup: coffee: pastries:etc.,"(0.0, 0.0)",
1337434,Liang Bai Ping,Truck,THOMAS AVE: HAWES ST to INGALLS ST (1200 - 1299),1265 THOMAS AVE,4807012,4807,12,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.72670967536868, -122.38529469118737)",58
1336763,Park's Catering,Truck,NAPOLEON ST: EVANS AVE \ TOLAND ST to JERROLD AVE (25 - 299),250 NAPOLEON ST,4343021,4343,21,19MFF-00056,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,"(37.746755554477474, -122.40090627035904)",58
1334503,Natan's Catering,Truck,POTRERO AVE: 10TH ST \ BRANNAN ST \ DIVISION ST to ALAMEDA ST (1 - 99),66 POTRERO AVE,3906004,3906,4,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.76854328902419, -122.40849289243862)",28853
1336041,Paradise Catering,Truck,MISSION ST: 07TH ST to ANGELOS ALY \ JULIA ST (1100 - 1165),1119 MISSION ST,3727130,3727,130,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(37.77865151450764, -122.41122956752473)",28853
1336024,Paradise Catering,Truck,10TH ST: FOLSOM ST to SHERIDAN ST (300 - 353),340 10TH ST,3520004,3520,4,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(37.77200984067113, -122.41246279621444)",28853
1334517,Natan's Catering,Truck,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,5232005,5232,5,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.74459119509166, -122.39307688085802)",58
963980,Singh Brothers Ice Cream,Truck,GRIFFITH ST: INGERSON AVE to JAMESTOWN AVE (2900 - 2999),2900 GRIFFITH ST,4973001,4973,1,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,"(37.71699129032396, -122.38959908416973)",58
1336762,Park's Catering,Truck,MISSISSIPPI ST: END to CESAR CHAVEZ ST (1200 - 1299),1200 MISSISSIPPI ST,4288003,4288,3,19MFF-00056,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,"(37.75169103572294, -122.3943742132628)",28856
812018,SF Street Food,Truck,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,3722067,3722,67,16MFF-0126,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,"(37.7865580501799, -122.40103337534973)",28855
1337052,Roadside Rotisserie Corporation / Country Grill,Truck,FRONT ST: BROADWAY to VALLEJO ST (800 - 899),90 BROADWAY,140007,140,7,19MFF-00065,EXPIRED,Rotisserie Chicken: Ribs: Kickass Salad: Potatos w/fat dripping: chicken wrap.,"(37.799260113502285, -122.39961794865545)",28860
1332948,Mini Mobile Food Catering,Truck,LOOMIS ST: FLOWER ST to WATERLOO ST (120 - 255),491 BAY SHORE BLVD,5598008,5598,8,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,"(0.0, 0.0)",
934516,Scotch Bonnet,Truck,01ST ST: STEVENSON ST to END (21 - 56),50 01ST ST,3708055,3708,55,17MFF-0094,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,"(37.790149073725544, -122.39865818460403)",28855
1265606,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,POST ST: STOCKTON ST to POWELL ST (300 - 399),384 POST ST,295007,295,7,19MFF-00001,REQUESTED,American Food: Hot dogs: pretzels: ice cream: salads: beverages: sandwiches: soup: coffee: pastries:etc.,"(37.78862121908618, -122.40806890640651)",28852
1337450,Liang Bai Ping,Truck,FELL ST: BRODERICK ST to BAKER ST (1300 - 1399),1377 FELL ST,1214017,1214,17,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.773287940470354, -122.44003231663504)",29492
1336676,Mike's Catering,Truck,TERRY A FRANCOIS BLVD: MISSION BAY BLVD to MISSION BAY BLVD (0 - 0),Assessors Block 8722/Lot005,8722005,8722,5,19MFF-00054,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,"(37.76964003221769, -122.38623665419902)",310
1181499,John's Catering #5,Truck,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),560 MISSION ST,3708095,3708,95,18MFF-0045,EXPIRED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),"(37.78886471534304, -122.39935935136297)",28855
1334497,Natan's Catering,Truck,,Assessors Block 4058/Lot010,4058010,4058,10,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.761182994505084, -122.38811870407658)",28856
1332945,Mini Mobile Food Catering,Truck,HARRISON ST: FREMONT ST \ I-80 W OFF RAMP to 01ST ST \ I-80 E ON RAMP (400 - 499),401 HARRISON ST,3765001,3765,1,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,"(0.0, 0.0)",
934605,May Catering,Truck,16TH ST: FLORIDA ST to ALABAMA ST (2500 - 2599),2500 16TH ST,3927004,3927,4,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.76582045448316, -122.41196835791213)",28853
1336682,Mike's Catering,Truck,BROADWAY: POWELL ST \ ROBERT C LEVY TUNL to MASON ST (800 - 898) -- NORTH --,860 BROADWAY,148009,148,9,19MFF-00054,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,"(37.79757898806039, -122.41143988608852)",308
1181515,John's Catering #5,Truck,HARRISON ST: ALAMEDA ST to 15TH ST (1830 - 1899),1830 HARRISON ST,3550020,3550,20,18MFF-0045,EXPIRED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),"(37.76798459486447, -122.41395382252182)",28853
934615,May Catering,Truck,BRYANT ST: 11TH ST \ 13TH ST \ DIVISION ST to DIVISION ST (1300 - 1319),1300 BRYANT ST,3903004,3903,4,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.769087126767054, -122.41152766713242)",28853
1337447,Liang Bai Ping,Truck,BEALE ST: FOLSOM ST to HARRISON ST (300 - 399),300 BEALE ST,3747022,3747,22,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.78813947887162, -122.39257951537353)",28855
934621,May Catering,Truck,MINNESOTA ST: 04TH ST \ MARIPOSA ST to 18TH ST (500 - 599),535 MINNESOTA ST,3996016,3996,16,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.763690871096, -122.3904573860159)",28856
1336755,Park's Catering,Truck,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,5232005,5232,5,19MFF-00056,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,"(37.74459119509166, -122.39307688085802)",58
955616,Tacos Santo Toribio,Truck,TOLAND ST: NEWCOMB AVE to OAKDALE AVE (900 - 999),928 TOLAND ST,5597A001,5597A,1,17MFF-0171,REQUESTED,tacos,"(37.74162368623527, -122.4015472063967)",58
1301554,San Francisco's Hometown Creamery,Truck,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 MONTGOMERY ST,292002,292,2,19MFF-00008,EXPIRED,Ice Cream: Waffle Cones,"(37.78924953407508, -122.40241859729358)",28854
1037689,Munch A Bunch,Truck,07TH ST: CLEVELAND ST to HARRISON ST (314 - 399),355 07TH ST,3754 018,3754,18,17MFF-0197,EXPIRED,Cold Truck: packaged sandwiches: pitas: breakfast: cold and hot drinks: snacks,"(37.77638142599361, -122.40693405162592)",28853
931094,Swell Cream & Coffee,Truck,TARAVAL ST: 34TH AVE to 35TH AVE (2400 - 2499),2450 TARAVAL ST,2363022,2363,22,17MFF-0002,REQUESTED,Ice cream: coffee: pastries,"(37.74255037355925, -122.49267708221483)",29491
1336737,Quan Catering,Truck,BAY SHORE BLVD: VISITACION AVE to SUNNYDALE AVE (2501 - 2599) -- EAST --,2555 BAY SHORE BLVD,5100002,5100,2,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,"(37.70937546400143, -122.40415437850858)",309
1336681,Mike's Catering,Truck,BROADWAY: BATTERY ST to SANSOME ST (200 - 299),250 BROADWAY,142002,142,2,19MFF-00054,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,"(37.79875493640093, -122.40179879385386)",28860
1181505,John's Catering #5,Truck,REDWOOD ST: POLK ST to VAN NESS AVE (100 - 199),180 REDWOOD ST,766013,766,13,18MFF-0045,EXPIRED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),"(37.78083157691187, -122.41994286468194)",28852
1336742,Quan Catering,Truck,CALIFORNIA ST: DRUMM ST to DAVIS ST (1 - 99),50 CALIFORNIA ST,235022,235,22,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,"(37.79405318373291, -122.39734769332577)",28860
1334506,Natan's Catering,Truck,25TH ST: MARYLAND ST to MICHIGAN ST (400 - 699),Assessors Block 4241/Lot002,4241002,4241,2,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.75334000118106, -122.38412838423727)",28856
